node_id,tier,name,region
0,Supplier,SUPP_000,North
1,Supplier,SUPP_001,North
2,Supplier,SUPP_002,East
3,Supplier,SUPP_003,South
4,Supplier,SUPP_004,South
5,Supplier,SUPP_005,South
6,Supplier,SUPP_006,North
7,Supplier,SUPP_007,Central
8,Supplier,SUPP_008,North
9,Supplier,SUPP_009,Central
10,Supplier,SUPP_010,West
11,Supplier,SUPP_011,North
12,Supplier,SUPP_012,North
13,Supplier,SUPP_013,North
14,Supplier,SUPP_014,South
15,Supplier,SUPP_015,South
16,Supplier,SUPP_016,Central
17,Supplier,SUPP_017,Central
18,Supplier,SUPP_018,North
19,Supplier,SUPP_019,Central
20,Supplier,SUPP_020,South
21,Supplier,SUPP_021,Central
22,Supplier,SUPP_022,West
23,Supplier,SUPP_023,South
24,Supplier,SUPP_024,West
25,Supplier,SUPP_025,Central
26,Supplier,SUPP_026,East
27,Supplier,SUPP_027,North
28,Supplier,SUPP_028,South
29,Supplier,SUPP_029,West
30,Supplier,SUPP_030,East
31,Supplier,SUPP_031,East
32,Supplier,SUPP_032,South
33,Supplier,SUPP_033,South
34,Supplier,SUPP_034,East
35,Supplier,SUPP_035,North
36,Supplier,SUPP_036,North
37,Supplier,SUPP_037,West
38,Supplier,SUPP_038,North
39,Supplier,SUPP_039,East
40,Supplier,SUPP_040,East
41,Supplier,SUPP_041,Central
42,Supplier,SUPP_042,East
43,Supplier,SUPP_043,North
44,Supplier,SUPP_044,West
45,Supplier,SUPP_045,Central
46,Supplier,SUPP_046,North
47,Supplier,SUPP_047,West
48,Supplier,SUPP_048,North
49,Supplier,SUPP_049,Central
50,Supplier,SUPP_050,East
51,Supplier,SUPP_051,Central
52,Supplier,SUPP_052,East
53,Supplier,SUPP_053,Central
54,Supplier,SUPP_054,South
55,Supplier,SUPP_055,North
56,Supplier,SUPP_056,North
57,Supplier,SUPP_057,South
58,Supplier,SUPP_058,East
59,Supplier,SUPP_059,North
60,Manufacturer,MANU_000,South
61,Manufacturer,MANU_001,North
62,Manufacturer,MANU_002,West
63,Manufacturer,MANU_003,East
64,Manufacturer,MANU_004,West
65,Manufacturer,MANU_005,East
66,Manufacturer,MANU_006,South
67,Manufacturer,MANU_007,East
68,Manufacturer,MANU_008,East
69,Manufacturer,MANU_009,South
70,Manufacturer,MANU_010,East
71,Manufacturer,MANU_011,North
72,Manufacturer,MANU_012,Central
73,Manufacturer,MANU_013,South
74,Manufacturer,MANU_014,Central
75,Manufacturer,MANU_015,South
76,Manufacturer,MANU_016,South
77,Manufacturer,MANU_017,West
78,Manufacturer,MANU_018,West
79,Manufacturer,MANU_019,East
80,Manufacturer,MANU_020,Central
81,Manufacturer,MANU_021,South
82,Manufacturer,MANU_022,East
83,Manufacturer,MANU_023,North
84,Manufacturer,MANU_024,South
85,Manufacturer,MANU_025,North
86,Manufacturer,MANU_026,East
87,Manufacturer,MANU_027,West
88,Manufacturer,MANU_028,East
89,Manufacturer,MANU_029,North
90,Manufacturer,MANU_030,South
91,Manufacturer,MANU_031,Central
92,Manufacturer,MANU_032,East
93,Manufacturer,MANU_033,South
94,Manufacturer,MANU_034,West
95,Manufacturer,MANU_035,West
96,Manufacturer,MANU_036,West
97,Manufacturer,MANU_037,South
98,Manufacturer,MANU_038,East
99,Manufacturer,MANU_039,South
100,Warehouse,WARE_000,South
101,Warehouse,WARE_001,Central
102,Warehouse,WARE_002,Central
103,Warehouse,WARE_003,East
104,Warehouse,WARE_004,Central
105,Warehouse,WARE_005,West
106,Warehouse,WARE_006,Central
107,Warehouse,WARE_007,West
